batter,avg_pa,babip,rolling_xBA,momentum,matchup_score,l10_hit_rate,season_hit_rate,avg_vs_L,avg_vs_R,streak_len,stand
666712,5.0,0.0,0.25,88.0,-6.08679,0.0,0.0,0.0,0.0,0,R
514917,9.5,0.2,0.25,77.47143,-2.9820538,0.25,0.25,0.0,0.125,0,R
688869,8.2,0.5,0.25,88.0,0.07488924,0.4,0.4,0.0,0.3333333333333333,0,L
676004,2.0,1.0,0.25,88.0,0.0,0.5,0.5,0.0,0.3333333333333333,1,R
667351,1.0,1.0,0.25,88.0,3.529127,1.0,1.0,0.0,1.0,1,R
691403,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
666161,3.8,0.3,0.25,88.0,10.037378,0.6,0.6,0.26,0.26,0,R
676002,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
805834,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,0.5,0,L
657510,3.5,0.25,0.25,88.0,-7.6808205,0.5,0.5,0.0,0.25,1,R
678841,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
620442,2.0,1.0,0.25,88.0,7.5570683,1.0,1.0,0.0,1.0,1,R
800506,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
678534,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
702250,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
656734,2.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
800385,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
649810,3.8,1.0,0.25,88.0,3.0676472,0.6,0.6,1.0,0.0,0,L
685121,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
805268,3.0,1.0,0.25,88.0,-0.9521338,0.5,0.5,1.0,0.0,1,L
693850,6.0,0.0,0.25,88.0,-1.9776577,0.0,0.0,0.0,0.0,0,R
676733,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
